CODE	SUBSTANCE_EN	SUBSTANCE_FR	CAS
"S125"	"Speciated VOC - Pentene (all isomers)"	"Pentène (tous les isomères)"	"NA - 36"
"S139"	"Speciated VOC - Phenyl isocyanate"	"Isocyanate de phényle"	"103-71-9"
"S070"	"Speciated VOC - Propane"	"Propane"	"74-98-6"
"S105"	"Speciated VOC - Propylene"	"Propylène"	"115-07-1"
"S035"	"Speciated VOC - Propylene glycol butyl ether"	"Ether monobutylique de propylène glycol"	"5131-66-8"
"S025"	"Speciated VOC - Propylene glycol methyl ether acetate"	"Acétate de l'éther monométhylique du propylène glycol"	"108-65-6"
"S036"	"Speciated VOC - Solvent naphtha light aliphatic"	"Fraction légère du solvant naphta"	"64742-89-8"
"S037"	"Speciated VOC - Solvent naphtha medium aliphatic"	"Solvant naphta aliphatique, fraction médiane"	"64742-88-7"
"S038"	"Speciated VOC - Stoddard solvent"	"Solvant Stoddard"	"8052-41-3"
"S078"	"Speciated VOC - Styrene"	"Styrène"	"100-42-5"
"S051"	"Speciated VOC - Terpene (all isomers)"	"Terpènes (tous les isomères)"	"68956-56-9"
"S058"	"Speciated VOC - Tetrahydrofuran"	"Tétrahydrofurane"	"109-99-9"
"S026"	"Speciated VOC - Toluene"	"Toluène"	"108-88-3"
"S027"	"Speciated VOC - Trimethylbenzene (all isomers excluding 1,2,4-Trimethylbenzene)"	"Triméthylbenzène (voir référence 104)"	"25551-13-7"
"S140"	"Speciated VOC - Trimethylfluorosilane"	"Triméthylfluorosilane"	"420-56-4"
"S018"	"Speciated VOC - VM & P naphtha"	"Naphta VM et P (ligroïne)"	"8032-32-4"
"S141"	"Speciated VOC - Vinyl acetate"	"Acétate de vinyle"	"108-05-4"
"S045"	"Speciated VOC - White mineral oil"	"Huile minérale blanche"	"8042-47-5"
"S028"	"Speciated VOC - Xylene (all isomers)"	"Xylène (tous les isomères)"	"1330-20-7"
"S017"	"Speciated VOC - n-Butyl acetate"	"Acétate de n-butyle"	"123-86-4"
"S072"	"Speciated VOC - n-Hexane"	"n-Hexane"	"110-54-3"
"S109"	"Speciated VOC - p-Dichlorobenzene"	"p-Dichlorobenzène"	"106-46-7"
"S149"	"Speciated VOC - propane"	"Propane"	"74-98-6"
"S042"	"Sulphuric acid"	"Acide sulfurique"	"7664-93-9"
"S118"	"Tetrachloroethylene"	"Tétrachloroéthylène"	"127-18-4"
"S029"	"Toluene"	"Toluène"	"108-88-3"
"S074"	"Trichloroethylene"	"Trichloroéthylène"	"79-01-6"
"S119"	"Triethylamine"	"Triéthylamine"	"121-44-8"
"S148"	"Vanadium (and its compounds)"	"Vanadium (et ses composés)"	"7440-62-2"
"S106"	"Vanadium (except when in an alloy) and its compounds"	"Vanadium (et ses composés)"	"7440-62-2"
"S143"	"Vinyl chloride"	"Chlorure de vinyle"	"75-01-4"
"S030"	"Volatile Organic Compounds (VOCs)"	"Composés Organiques Volatils"	"NA - M16"
"S031"	"Xylene (all isomers)"	"Xylène (tous les isomères)"	"1330-20-7"
"S032"	"Zinc (and its compounds)"	"Zinc (et ses composés)"	"NA - 14"
"S130"	"p,p'-Methylenebis(2-chloroaniline)"	"p,p?-Méthylènebis(2-chloroaniline)"	"101-14-4"
